project_id,start_date,duration_days,budget_k,team_size,complexity_level,risk_score,vendor_count,deliverables_count,end_date,success
418,2021-07-15,166,276,4,High,8,4,6,2021-12-28,0
419,2021-09-19,276,359,6,Low,5,4,3,2022-06-22,0
420,2021-12-31,272,147,6,Medium,3,0,4,2022-09-29,0
421,2021-12-16,60,104,2,High,7,0,8,2022-02-14,0
422,2021-02-16,69,160,9,Medium,7,1,3,2021-04-26,1
423,2021-12-21,258,201,13,Medium,9,3,6,2022-09-05,1
424,2021-11-07,65,295,5,Medium,7,0,1,2022-01-11,1
425,2021-11-04,252,455,14,Medium,3,3,7,2022-07-14,1
426,2021-05-24,35,118,16,Low,1,2,8,2021-06-28,0
427,2021-09-26,351,361,12,Medium,8,4,8,2022-09-12,1
428,2021-05-04,249,338,11,Medium,3,3,3,2022-01-08,0
429,2021-04-16,104,299,4,High,8,4,1,2021-07-29,0
430,2021-06-07,33,85,15,Medium,8,3,9,2021-07-10,0
431,2021-05-27,364,288,17,Medium,5,2,6,2022-05-26,0
432,2021-05-25,163,197,11,Low,1,0,9,2021-11-04,1
433,2021-04-30,147,276,11,Medium,7,2,7,2021-09-24,0
434,2021-11-15,123,293,13,Low,5,0,1,2022-03-18,1
435,2021-10-02,91,386,10,Low,8,0,1,2022-01-01,1
436,2021-04-02,223,495,2,Medium,9,4,6,2021-11-11,1
437,2021-02-27,364,414,6,High,7,2,5,2022-02-26,1
438,2021-12-12,232,250,9,Low,7,3,9,2022-08-01,0
439,2021-08-17,55,203,12,Medium,1,2,2,2021-10-11,1
440,2021-04-27,202,499,13,High,4,4,8,2021-11-15,1
441,2021-11-14,329,122,2,Low,2,0,5,2022-10-09,0
442,2021-10-06,162,250,12,Medium,2,4,2,2022-03-17,0
443,2021-05-07,355,345,6,Medium,2,1,6,2022-04-27,1
444,2021-05-09,147,66,16,Medium,4,1,8,2021-10-03,1
445,2021-02-27,353,178,6,Low,1,3,4,2022-02-15,0
446,2021-05-02,304,266,13,Medium,4,4,2,2022-03-02,1
447,2021-01-01,241,110,6,Medium,2,3,5,2021-08-30,0
448,2021-08-27,254,476,18,Medium,5,3,2,2022-05-08,1
449,2021-10-17,49,153,18,Low,3,1,2,2021-12-05,0
450,2021-04-06,142,91,13,Medium,8,3,6,2021-08-26,0
451,2021-05-06,169,74,16,Low,4,1,9,2021-10-22,0
452,2021-04-28,76,88,16,Medium,1,0,4,2021-07-13,1
453,2021-02-17,30,340,7,Low,1,4,6,2021-03-19,0
454,2021-03-30,119,180,13,High,3,3,7,2021-07-27,1
455,2021-08-25,171,278,19,Medium,9,1,6,2022-02-12,0
456,2021-09-29,349,157,15,Medium,7,2,8,2022-09-13,1
457,2021-07-08,67,221,3,Low,2,3,4,2021-09-13,1
458,2021-07-11,322,484,10,Medium,9,0,1,2022-05-29,1
459,2021-03-10,168,151,6,High,2,0,7,2021-08-25,0
460,2021-10-05,362,403,2,High,3,2,3,2022-10-02,1
461,2021-12-15,288,61,4,Medium,2,1,6,2022-09-29,0
462,2021-09-04,190,324,7,Medium,3,3,2,2022-03-13,1
463,2021-03-17,207,150,6,Medium,6,1,9,2021-10-10,0
464,2021-06-03,39,93,6,High,9,0,1,2021-07-12,1
465,2021-05-24,290,492,2,Medium,9,1,6,2022-03-10,1
466,2021-03-27,167,354,18,Medium,7,0,6,2021-09-10,1
467,2021-07-04,201,494,15,Medium,3,1,5,2022-01-21,1
468,2021-10-12,42,66,13,Medium,4,2,5,2021-11-23,1
469,2021-08-08,197,379,11,Low,6,4,1,2022-02-21,1
470,2021-03-10,159,106,19,Medium,5,2,5,2021-08-16,0
471,2021-02-16,113,360,12,Medium,2,2,2,2021-06-09,0
472,2021-04-04,350,352,3,Medium,6,4,7,2022-03-20,1
473,2021-08-26,348,61,19,Low,3,4,3,2022-08-09,0
474,2021-07-23,130,367,8,Medium,8,3,4,2021-11-30,0
475,2021-08-06,358,129,16,Medium,2,3,3,2022-07-30,1
476,2021-12-07,302,265,12,Medium,1,2,3,2022-10-05,1
477,2021-02-08,294,388,19,Low,9,2,4,2021-11-29,0
478,2021-04-10,67,313,13,Medium,3,0,5,2021-06-16,0
479,2021-10-16,123,198,7,Medium,1,0,1,2022-02-16,0
480,2021-09-11,124,130,14,Medium,7,3,4,2022-01-13,1
481,2021-08-10,334,264,17,Medium,5,3,8,2022-07-10,1
482,2021-12-23,98,423,19,Medium,5,0,7,2022-03-31,0
483,2021-01-23,347,247,11,High,1,0,9,2022-01-05,0
484,2021-09-07,265,249,9,Low,9,1,5,2022-05-30,0
485,2021-01-10,363,74,19,High,7,1,4,2022-01-08,1
486,2021-09-03,166,138,2,Medium,8,0,8,2022-02-16,1
487,2021-11-21,105,317,9,Low,9,1,9,2022-03-06,1
488,2021-04-10,64,192,7,Low,6,4,7,2021-06-13,1
489,2021-10-17,30,108,6,Medium,5,3,7,2021-11-16,1
490,2021-06-29,325,459,16,Medium,6,3,5,2022-05-20,0
491,2021-08-11,349,414,16,Medium,2,0,4,2022-07-26,0
492,2021-09-07,89,75,3,Medium,4,2,1,2021-12-05,0
493,2021-05-27,349,96,2,Medium,3,0,7,2022-05-11,0
494,2021-04-06,357,337,12,Medium,7,1,1,2022-03-29,0
495,2021-09-14,296,315,11,Low,9,2,1,2022-07-07,1
496,2021-11-21,258,65,19,Medium,5,1,5,2022-08-06,0
497,2021-01-04,299,248,19,Medium,6,4,9,2021-10-30,0
498,2021-01-16,345,450,18,Low,2,1,6,2021-12-27,0
499,2021-10-07,315,456,9,Low,3,4,3,2022-08-18,0
500,2021-12-02,320,331,16,Medium,3,4,3,2022-10-18,1
